index	label (TVP)	label	abbreviation	english_full_name	chinese_full_name
75	R.PCU	R.PCU	R-PCU	Right Precuneus	右侧楔前叶
76	R.RACG	R.RACG	R-RACG	Right Rostral Anterior Cingulate Gyrus	右侧吻侧前扣带回
77	R.RMFG	R.RMFG	R-RMFG	Right Rostral Middle Frontal Gyrus	右侧吻侧额中回
78	R.SFG	R.SFG	R-SFG	Right Superior Frontal Gyrus	右侧额上回
79	R.SPG	R.SPG	R-SPG	Right Superior Parietal Gyrus	右侧顶上小叶
80	R.STG	R.STG	R-STG	Right Superior Temporal Gyrus	右侧颞上回
81	R.SMG	R.SMG	R-SMG	Right Supramarginal Gyrus	右侧缘上回
82	R.FP	R.FP	R-FP	Right Frontal Pole	右侧额极
83	R.TP	R.TP	R-TP	Right Temporal Pole	右侧颞极
84	R.TTG	R.TTG	R-TTG	Right Transverse Temporal Gyrus	右侧横颞回
85	R.IN	R.IN	R-IN	Right Insula	右侧岛叶
86	R.CER	R.CER	R-CER	Right Cerebellum	右侧小脑
87	SubstantiaNigraLH	L.SNc	L-SNc	Left Substantia Nigra pars compacta	左侧黑质致密部
88	SubstantiaNigraRH	R.SNc	R-SNc	Right Substantia Nigra pars compacta	右侧黑质致密部
